"M","corralation","countPositiveHistory","countPositiveAprox"
391,0.777371116676387,183,169
392,0.777684174726493,183,169
393,0.778248768189327,183,169
394,0.778085304001906,184,170
395,0.778020802578127,184,171
396,0.777938429278032,185,172
397,0.777904576436388,186,173
398,0.779173879805589,187,174
399,0.77910062901365,187,174
400,0.779969023272895,187,174
401,0.779927052292956,188,174
402,0.77973790130607,188,175
403,0.779633633719283,189,176
404,0.776794070787927,190,176
405,0.778314874358542,192,177
406,0.778453739326048,192,177
407,0.778990832595821,192,177
408,0.778892502012609,193,177
409,0.778873937875292,193,178
410,0.778620601794196,194,179
411,0.776888534230053,195,180
412,0.777971946102737,203,181
413,0.77805434735812,203,181
414,0.7789113757166,203,181
415,0.778752712451672,204,182
416,0.778757827561268,204,182
417,0.778754030838137,205,183
418,0.778753883540269,206,183
419,0.780644955178744,207,184
420,0.780766317507176,207,184
421,0.781681086671777,207,184
422,0.781408163232524,207,185
423,0.781324970893083,207,186
424,0.781315066521411,208,187
425,0.781306957420388,209,188
426,0.782508568241655,210,189
427,0.782512531178619,210,189
428,0.783082239424397,210,189
429,0.783076570435797,211,189
430,0.783017232594041,212,190
431,0.783002754420332,212,191
432,0.782693715734714,213,191
433,0.784059800444843,206,192
434,0.784190079148518,206,192
435,0.785253126027867,206,192
436,0.785128681272716,206,193
437,0.785142870830434,207,194
438,0.784993327074195,208,195
439,0.784392409222041,216,196
440,0.785782431599603,210,197
441,0.785815330201824,210,197
442,0.786658195494086,210,197
443,0.786399919621592,218,198
444,0.786424454742088,219,199
445,0.786428437172691,219,199
446,0.786366514080114,220,199
447,0.787645885226097,221,200
448,0.78776795084897,221,200
449,0.788544582239708,221,200
450,0.788455194006255,221,201
451,0.788415556111478,221,201
452,0.788390819910415,221,201
453,0.788368190456092,222,202
454,0.789805573275012,223,203
455,0.789566832540039,223,203
456,0.79059809164719,223,203
457,0.790601920432613,223,203
458,0.790570488300075,224,203
459,0.790412069259116,224,204
460,0.790401423671274,225,205
461,0.792135231668661,226,206
462,0.792165749707731,226,206
463,0.793177931339528,226,206
464,0.793177431636783,226,206
465,0.79141363158261,227,207
466,0.790339858862277,227,207
467,0.790338987983455,227,207
468,0.791538360410593,228,208
469,0.791619385933093,228,208
470,0.791855504649229,228,208
471,0.791557363649663,229,208
472,0.791234853250587,229,209
473,0.791228859966724,230,210
474,0.79118271756085,231,210
475,0.792291456871249,232,211
476,0.792180236898093,232,211
477,0.793038106784056,232,211
478,0.792962382102144,232,211
479,0.791176953675325,233,211
480,0.790994193950124,226,211
481,0.790987912378678,226,212
482,0.792757521212075,227,213
483,0.792856442554516,227,213
484,0.793691438934003,227,213
485,0.793711301299571,228,214
486,0.793715626848835,228,214
487,0.793727847294784,228,214
488,0.793724615306018,228,215
489,0.795122338847887,229,216
490,0.795288358835957,229,216
491,0.796030495843016,229,216
492,0.796034694266073,229,216
493,0.795920334551074,230,216
494,0.793883856929292,230,217
495,0.79357996649553,231,217
496,0.792514334807826,232,218
497,0.79156701145914,232,218
498,0.791182453532439,232,218
499,0.791158762853481,233,218
500,0.790999886508123,234,218
501,0.790935842227874,235,218
502,0.790944132334203,236,219
503,0.792762406464559,237,220
504,0.792065513359277,237,221
505,0.792611680463175,237,221
506,0.792482979822446,238,221
507,0.79237513595955,239,221
508,0.792161221870089,239,222
509,0.792057187709219,240,222
510,0.793166895174179,241,223
511,0.793339468575097,241,223
512,0.794309220339988,241,223
513,0.793793514889713,241,224
514,0.793721711562363,242,225
515,0.793736107688439,243,226
516,0.793561798838636,244,226
517,0.794774990187079,245,227
518,0.794868267698354,245,227
519,0.79548504736448,245,227
520,0.79520457405131,245,227
521,0.794274126239051,246,227
522,0.794133363088841,247,227
523,0.794185321692003,248,228
524,0.795286819586372,249,229
525,0.795459501785031,249,229
526,0.796379339216465,249,229
527,0.796252074413845,250,229
528,0.794946408954737,251,230
529,0.794154429896908,249,230
530,0.794110884645782,250,230
531,0.795039486136899,251,231
532,0.794940240885434,251,231
533,0.795410434302803,251,231
534,0.795422436008838,252,232
535,0.794687758528676,252,233
536,0.790943814298742,252,234
537,0.790767396964665,253,234
538,0.787760289666015,254,234
539,0.787823501673972,254,234
540,0.787375515585814,254,234
541,0.787349902396932,255,234
542,0.787014356423665,255,234
543,0.786826984901318,255,235
544,0.786645045479861,255,236
545,0.78791629090897,256,237
546,0.787772117000004,256,237
547,0.788609358563288,256,237
548,0.788405732610674,256,238
549,0.788400732159744,256,238
550,0.788288900937365,257,238
551,0.785861248759316,258,238
552,0.78583245212907,259,239
553,0.78516422496265,260,239
554,0.785927858379913,260,239
555,0.785743582695094,260,240
556,0.78572191319937,260,240
557,0.785689803512324,260,240
558,0.785250674765365,260,241
559,0.785792693380864,261,242
560,0.785579593697958,261,242
561,0.786120071465092,261,242
562,0.785427872840623,262,242
563,0.784594109570589,263,242
564,0.78441753303099,264,242
565,0.784107462679334,264,243
566,0.785406412687298,265,244
567,0.78550963425918,265,244
568,0.786247086870118,265,244
569,0.786176324154835,266,244
570,0.786246043536521,266,244
571,0.78628844358239,266,244
572,0.786023235686802,266,245
573,0.784594733054468,267,246
574,0.782874778942188,267,246
575,0.783126977594565,267,246
576,0.78291008859457,268,246
577,0.782937329076123,268,246
578,0.782692683649599,269,246
579,0.7825848371205,270,246
580,0.783805097321359,271,247
581,0.783871354363936,271,247
582,0.784842390520277,271,247
583,0.784863145334823,271,247
584,0.784779284563999,272,247
585,0.784654766996371,272,248
586,0.783818196765101,273,249
587,0.783109429703882,276,250
588,0.782888377245341,276,251
589,0.781944403159833,276,251
590,0.780227096921494,276,252
591,0.777019028188256,275,252
592,0.77667726676662,277,252
593,0.777508452162471,278,253
594,0.77688279152562,279,253
595,0.777386396786532,279,253
596,0.778466280190441,279,253
597,0.778463613214499,280,254
598,0.778495042875802,280,254
599,0.775939285437345,281,254
600,0.774912976644255,282,254
601,0.774293404679929,279,255
602,0.773643497192977,279,256
603,0.771751442640147,279,257
604,0.769073469032707,279,257
605,0.768968840609387,280,257
606,0.768881854305369,281,257
607,0.768991810454902,281,257
608,0.770700459310161,282,258
609,0.770643753127529,282,258
610,0.770677727531776,282,258
611,0.770613988878293,282,259
612,0.770603762256882,282,259
613,0.77060708163255,283,260
614,0.770616085307163,284,261
615,0.771753433082295,285,262
616,0.77168415878475,285,262
617,0.772005294334619,285,262
618,0.771650548610181,285,263
619,0.771167695185445,286,263
620,0.771190010608059,286,263
621,0.771189500084617,287,264
622,0.772472548507254,288,265
623,0.772400149632851,288,265
624,0.772864505322877,288,265
625,0.77284751591902,288,266
626,0.772878662900833,289,267
627,0.7728647222968,290,267
628,0.772823950651859,290,267
629,0.773604061189399,291,268
630,0.773824419644503,291,268
631,0.774405831620508,291,268
632,0.774397658484189,291,268
633,0.773432344298771,292,269
634,0.773324354347059,292,270
635,0.773324610991069,293,271
636,0.775047761601021,294,272
637,0.774999773016973,294,272
638,0.776036895204732,294,272
639,0.775978471850544,294,272
640,0.775976858086213,294,272
641,0.775961675783753,294,273
642,0.775782834934884,294,274
643,0.776789566502417,295,275
644,0.776805390797677,295,275
645,0.777205801539311,295,275
646,0.777188218809274,295,276
647,0.777173593816841,296,276
648,0.777184362687919,297,277
649,0.777950603143074,298,278
650,0.777017529720269,298,279
651,0.777108561190854,298,279
652,0.776882144828295,298,279
653,0.776889402546282,299,280
654,0.776775989263153,299,281
655,0.776748322142528,300,282
656,0.776730639044704,301,282
657,0.769086995225748,302,282
658,0.769057446618204,302,282
659,0.769810849769927,302,282
660,0.769613844483445,302,282
661,0.769578501586625,303,282
662,0.769031014110478,303,283
663,0.767834229912568,304,284
664,0.767861691791648,307,285
665,0.768150000119376,307,285
666,0.76908558513553,307,285
667,0.76853106765852,307,286
668,0.768262022594116,308,287
669,0.768007137869191,308,288
670,0.766590407914852,309,289
671,0.764628846185409,309,290
672,0.764639626306837,309,290
673,0.765510504392767,309,290
674,0.765510533170148,310,291
675,0.765512607781433,311,292
676,0.765193055824869,312,292
677,0.765068035794567,313,292
678,0.766388285262099,314,293
679,0.7659712225816,314,293
680,0.76696995711014,314,293
681,0.766948650976938,315,293
682,0.766488430034791,316,293
683,0.766493892942789,317,294
684,0.766073266491611,318,294
685,0.767315447150382,319,295
686,0.767586515278752,319,295
687,0.769078702925121,319,295
688,0.768830785303234,320,295
689,0.768644961495553,321,295
690,0.768580942468918,321,296
691,0.768606972360189,322,297
692,0.770076556736818,323,298
693,0.770089153792718,323,298
694,0.770604132719029,323,298
695,0.770596806701022,323,298
696,0.770592744213983,323,298
697,0.770604166397817,323,298
698,0.770621890549319,324,299
699,0.771322142818212,325,300
700,0.770627890450636,325,300
701,0.771010356032632,325,300
702,0.770955744209954,325,301
703,0.770799219882028,326,302
704,0.77068223292953,326,303
705,0.770702163839053,327,304
706,0.771860243813693,328,305
707,0.772040432572045,328,305
708,0.772374368715894,328,305
709,0.772094648912167,329,306
710,0.77128744627905,330,307
711,0.769965826786964,330,308
712,0.7678991438792,332,309
713,0.767898039109678,333,310
714,0.767818136683595,333,310
715,0.768246322311694,333,310
716,0.767350780645446,334,310
717,0.764665066310441,335,311
718,0.763274236506284,335,312
719,0.762649728088858,335,313
720,0.76365859706827,336,314
721,0.762748963291764,337,314
722,0.759766596104169,338,314
723,0.752001209979709,342,315
724,0.752010744792172,342,315
725,0.751942662312983,342,315
726,0.751916858605138,342,315
727,0.753070671259587,343,316
728,0.752655229041075,343,316
729,0.736535251424672,341,316
730,0.73639459907047,342,316
